"Date","Circulating Marketcap"
"2021-04-07","62386461538.71637"
"2021-04-06","56922537687.19181"
"2021-04-05","53977699123.262"
"2021-04-04","49573164404.93673"
"2021-04-03","52298190455.332375"
"2021-04-02","51776889557.971436"
"2021-04-01","46765916752.80729"
"2021-03-31","48158566211.56259"
"2021-03-30","42546986282.027824"
"2021-03-29","41460883509.46309"
"2021-03-28","41586580476.67734"
"2021-03-27","39476806177.03714"
"2021-03-26","36180003740.84518"
"2021-03-25","38472899392.08505"
"2021-03-24","39515099401.14212"
"2021-03-23","39423013313.686806"
"2021-03-22","40933478568.38485"
"2021-03-21","40868173012.18229"
"2021-03-20","40668037603.068596"
"2021-03-19","40395163611.51955"
"2021-03-18","41711334793.93912"
"2021-03-17","39964326206.85559"
"2021-03-16","39376761651.614624"
"2021-03-15","40888676926.68841"
"2021-03-14","42691196277.54833"
"2021-03-13","40696137423.30512"
"2021-03-12","44814132143.28114"
"2021-03-11","43097889055.874146"
"2021-03-10","45350069793.67409"
"2021-03-09","37199605502.2128"
"2021-03-08","37096083399.04934"
"2021-03-07","34975361378.69637"
"2021-03-06","34910215957.226814"
"2021-03-05","35550564447.920235"
"2021-03-04","37240469634.26415"
"2021-03-03","37075102411.51471"
"2021-03-02","39400641729.130905"
"2021-03-01","32453463561.308308"
"2021-02-28","34865159594.29335"
"2021-02-27","34271300864.55631"
"2021-02-26","36164091400.92902"
"2021-02-25","39339399759.66717"
"2021-02-24","35851606120.34767"
"2021-02-23","41349882610.95041"
"2021-02-22","45663928009.14725"
"2021-02-21","39417382191.73572"
"2021-02-20","51472742787.2016"
"2021-02-19","30220877718.90076"
"2021-02-18","25528205547.9619"
"2021-02-17","20115913992.283463"
"2021-02-16","20053887442.211117"
"2021-02-15","21022313868.311245"
"2021-02-14","20608417055.476337"
"2021-02-13","21156968797.078716"
"2021-02-12","19192079323.075718"
"2021-02-11","19975541902.29328"
"2021-02-10","16635713944.052189"
"2021-02-09","12355497298.95617"
"2021-02-08","10583475281.11863"
"2021-02-07","11253924778.55604"
"2021-02-06","10452473951.058197"
"2021-02-05","8648675000.4073"
"2021-02-04","8065156926.622486"
"2021-02-03","7895137045.973699"
"2021-02-02","7968076545.858925"
"2021-02-01","6852613046.129767"
"2021-01-31","6929286159.035287"
"2021-01-30","6622791256.678104"
"2021-01-29","6574549370.893223"
"2021-01-28","6333178758.71785"
"2021-01-27","6463480857.080375"
"2021-01-26","6454870350.743145"
"2021-01-25","6472909472.488603"
"2021-01-24","6314773962.994542"
"2021-01-23","6323543791.314326"
"2021-01-22","5970344604.596411"
"2021-01-21","6588289710.120348"
"2021-01-20","6595256767.492585"
"2021-01-19","6465360320.479159"
"2021-01-18","6534121682.353407"
"2021-01-17","6137897895.59047"
"2021-01-16","5823363848.773089"
"2021-01-15","5955767549.5294285"
"2021-01-14","5714682779.563345"
"2021-01-13","5452146152.170992"
"2021-01-12","5519362918.794094"
"2021-01-11","6117272630.290297"
"2021-01-10","6354427254.775971"
"2021-01-09","6117067264.111446"
"2021-01-08","6308695566.130689"
"2021-01-07","6101083726.594636"
"2021-01-06","6050261701.866304"
"2021-01-05","5930281145.871676"
"2021-01-04","5970157124.762377"
"2021-01-03","5528388574.926081"
"2021-01-02","5462322010.807957"
"2021-01-01","5397359787.878623"
"2020-12-31","5510970978.265977"
"2020-12-30","5636162436.496939"
"2020-12-29","5180713827.160069"
"2020-12-28","4846538766.97302"
"2020-12-27","4847492736.565593"
"2020-12-26","4790880927.776549"
"2020-12-25","4694353285.657774"
"2020-12-24","4496974681.758972"
"2020-12-23","4838945037.57504"
"2020-12-22","4636616068.290912"
"2020-12-21","4947304263.408204"
"2020-12-20","4809920963.849491"
"2020-12-19","4474595605.733929"
"2020-12-18","4368457313.969328"
"2020-12-17","4409517376.587343"
"2020-12-16","4265050545.8052907"
"2020-12-15","4337459389.821916"
"2020-12-14","4208866717.6640787"
"2020-12-13","4066401210.2332172"
"2020-12-12","3951168568.2867517"
"2020-12-11","3996542413.9968863"
"2020-12-10","4066307497.8906713"
"2020-12-09","3995142910.9347363"
"2020-12-08","4244155396.0247335"
"2020-12-07","4264394976.9088655"
"2020-12-06","4295697282.900392"
"2020-12-05","4192871305.2881007"
"2020-12-04","4433397494.427165"
"2020-12-03","4377054485.787659"
"2020-12-02","4359662481.933439"
"2020-12-01","4548445362.020012"
"2020-11-30","4350114434.71331"
"2020-11-29","4212585402.0478396"
"2020-11-28","4110598408.5144258"
"2020-11-27","4076941559.849584"
"2020-11-26","4522997694.218653"
"2020-11-25","4892536920.5478115"
"2020-11-24","4476848549.434362"
"2020-11-23","4331843553.313351"
"2020-11-22","4401115078.00522"
"2020-11-21","4183705963.6787825"
"2020-11-20","4059532296.412856"
"2020-11-19","4058198850.553353"
"2020-11-18","4139601797.38155"
"2020-11-17","4038997410.666675"
"2020-11-16","3998679248.4189405"
"2020-11-15","4035236159.5803304"
"2020-11-14","4073996946.500043"
"2020-11-13","4000753832.3054323"
"2020-11-12","4046664510.2308"
"2020-11-11","4078036540.6592336"
"2020-11-10","4052686958.519198"
"2020-11-09","4102851473.766036"
"2020-11-08","4014527711.6660333"
"2020-11-07","4194533733.809798"
"2020-11-06","3999617983.480547"
"2020-11-05","3891021252.0435877"
"2020-11-04","3888075598.6578937"
"2020-11-03","4018577457.5188694"
"2020-11-02","4122996836.631413"
"2020-11-01","4118039213.064869"
"2020-10-31","4117211877.0469522"
"2020-10-30","4316510106.464346"
"2020-10-29","4383824733.439712"
"2020-10-28","4552051018.826424"
"2020-10-27","4486558977.843806"
"2020-10-26","4355327941.624448"
"2020-10-25","4426928793.868123"
"2020-10-24","4429388491.090132"
"2020-10-23","4428587912.655181"
"2020-10-22","4300079584.817517"
"2020-10-21","4164890083.476685"
"2020-10-20","4321181276.699005"
"2020-10-19","4431576495.771961"
"2020-10-18","4367716953.487176"
"2020-10-17","4344284583.300419"
"2020-10-16","4528979647.495722"
"2020-10-15","4457108502.4099045"
"2020-10-14","4434999858.236235"
"2020-10-13","4431837353.884803"
"2020-10-12","4122300503.1340265"
"2020-10-11","4086909774.8041263"
"2020-10-10","4103297961.0689335"
"2020-10-09","4001130320.525558"
"2020-10-08","4003657434.7285204"
"2020-10-07","4002256691.8641467"
"2020-10-06","4138637897.9705553"
"2020-10-05","4189003254.8130016"
"2020-10-04","4074098328.0860267"
"2020-10-03","3949057315.2957172"
"2020-10-02","3955353441.133958"
"2020-10-01","4227377048.760933"
"2020-09-30","4170706944.345034"
"2020-09-29","3884680869.846588"
"2020-09-28","3790051251.8304615"
"2020-09-27","3776549237.9709263"
"2020-09-26","3567549624.494891"
"2020-09-25","3551719664.1613955"
"2020-09-24","3297360380.888551"
"2020-09-23","3473670919.8339148"
"2020-09-22","3332166931.100545"
"2020-09-21","3800578490.433612"
"2020-09-20","3929100328.358328"
"2020-09-19","3920640386.3417497"
"2020-09-18","3916103738.552788"
"2020-09-17","4007282039.998383"
"2020-09-16","3909374391.816999"
"2020-09-15","4505354705.937048"
"2020-09-14","4498466513.343321"
"2020-09-13","4115991297.8486295"
"2020-09-12","3668894148.153814"
"2020-09-11","3547015011.543077"
"2020-09-10","3534538284.6432705"
"2020-09-09","3356672725.227352"
"2020-09-08","3244468828.1079855"
"2020-09-07","3348152737.637063"
"2020-09-06","2814267244.9789886"
"2020-09-05","3032595522.624"
"2020-09-04","2960493326.885778"
"2020-09-03","3573398089.491124"
"2020-09-02","3570652963.6191535"
"2020-09-01","3346448739.7528543"
"2020-08-31","3412254809.9529376"
"2020-08-30","3313422959.17924"
"2020-08-29","3334145301.1295257"
"2020-08-28","3336513568.091665"
"2020-08-27","3210230031.7629733"
"2020-08-26","3088408657.877045"
"2020-08-25","3262014224.972188"
"2020-08-24","3159138991.5131135"
"2020-08-23","3209695728.443017"
"2020-08-22","3186893932.3008313"
"2020-08-21","3336975669.6474953"
"2020-08-20","3232497523.1973376"
"2020-08-19","3323083758.921685"
"2020-08-18","3396269003.588028"
"2020-08-17","3394715358.352655"
"2020-08-16","3339647191.0504546"
"2020-08-15","3339401699.9420996"
"2020-08-14","3148351821.134262"
"2020-08-13","3106392515.798605"
"2020-08-12","3074372341.0828314"
"2020-08-11","3271689463.9581294"
"2020-08-10","3237797243.9374185"
"2020-08-09","3309392482.627477"
"2020-08-08","3221248252.405874"
"2020-08-07","3285812425.222249"
"2020-08-06","3363907492.7707214"
"2020-08-05","3222013606.840987"
"2020-08-04","3185185586.170999"
"2020-08-03","3031180337.901835"
"2020-08-02","3127138497.412427"
"2020-08-01","2988652605.9966545"
"2020-07-31","2889098723.2590575"
"2020-07-30","2872737460.328584"
"2020-07-29","2924346194.1899915"
"2020-07-28","2856405078.782559"
"2020-07-27","2826570683.1389685"
"2020-07-26","2861415986.255312"
"2020-07-25","2775219710.098448"
"2020-07-24","2708951539.757209"
"2020-07-23","2616531342.1544747"
"2020-07-22","2757510384.481253"
"2020-07-21","2718937279.7663956"
"2020-07-20","2801371737.094127"
"2020-07-19","2666254422.420669"
